player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Szygenda,DK,6,0.833,6.4,4.5,2.0,8.3,7.6,427,0.625,23.9,723,1.11,0.32,0.28,0.09,342,7,174,0.33299999999999996,0.16699999999999998,0,1
Taeyoon,KR,6,0.0,2.0,1.7,2.8,4.0,9.1,381,0.539,28.0,641,1.12,0.42,0.33,0.15,-438,0,0,0.0,0.0,0,0
TakeSet,DK,7,0.5710000000000001,4.2,5.1,2.4,5.1,9.2,450,0.696,29.4,724,1.2,0.35,0.38,0.09,-51,-12,-534,0.0,0.0,0,1
Taki,VN,8,0.5,2.8,1.5,4.0,9.6,1.0,259,0.758,6.8,194,3.37,1.82,0.39,0.58,267,-1,-326,0.625,0.0,0,1
Tangyuan,CN,8,0.5,3.7,2.0,1.9,4.9,9.2,408,0.606,24.6,541,1.43,0.47,0.33,0.23,-69,0,0,0.0,0.0,0,0
Tao,IT,8,0.375,3.0,3.4,3.8,7.9,7.6,389,0.612,21.4,583,0.77,0.35,0.13,0.07,40,-4,146,0.0,0.5,0,4
Targamas,BE,9,0.667,3.3,0.3,3.8,12.0,1.2,254,0.768,6.4,174,3.74,1.7,0.57,0.47,-147,4,-209,0.222,0.33299999999999996,0,0
Tarzan,KR,7,0.857,6.8,5.4,2.4,11.0,6.5,392,0.736,16.6,485,1.65,0.42,0.39,0.31,249,0,0,0.0,0.0,0,0
Tasteless,RS,3,0.667,4.5,0.3,3.3,14.7,0.9,261,0.685,7.0,213,2.66,1.26,0.19,0.4,-271,2,498,0.0,0.33299999999999996,0,0
Tatu,BR,5,0.6,4.8,2.6,2.0,7.0,6.5,366,0.7020000000000001,17.0,407,1.36,0.31,0.29,0.26,131,3,176,0.2,0.4,0,1
Taxvig,DK,4,0.0,1.0,1.5,5.3,3.8,5.2,297,0.742,12.8,284,0.87,0.11,0.25,0.09,-445,-17,-661,0.25,0.0,0,0
Techoteco,DE,8,0.375,1.7,1.9,5.4,7.1,5.8,322,0.7190000000000001,14.2,359,1.14,0.22,0.3,0.13,-402,0,-118,0.25,0.125,0,0
Teddy,KR,4,0.5,2.8,2.3,2.8,5.5,9.6,420,0.551,22.8,613,1.29,0.45,0.32,0.14,-136,6,172,0.0,0.0,0,1
Tempester,KR,12,0.25,2.9,2.8,3.3,6.8,8.4,395,0.5870000000000001,27.4,719,0.9,0.3,0.22,0.18,-234,0,-33,0.16699999999999998,0.083,0,2
Thanatos,KR,6,0.667,4.5,2.5,1.8,5.8,8.5,414,0.645,23.9,560,1.11,0.3,0.26,0.15,261,11,156,0.33299999999999996,0.16699999999999998,0,0
Thayger,ES,10,0.4,2.6,2.7,3.4,6.0,6.2,351,0.7190000000000001,17.7,419,1.21,0.22,0.28,0.22,-42,-4,-48,0.6,0.0,0,2
TheMountain,IT,7,0.5710000000000001,4.3,2.1,2.3,7.6,6.5,345,0.545,15.7,436,0.53,0.18,0.11,0.06,-226,-15,-274,0.0,0.28600000000000003,0,2
TheSerius,GR,8,0.375,2.1,1.3,3.8,6.5,6.2,323,0.402,13.2,349,0.79,0.42,0.09,0.07,-511,-20,-513,0.0,0.125,0,1
TheShy,KR,8,0.5,2.7,2.1,2.9,5.8,7.7,363,0.518,22.2,578,1.01,0.39,0.18,0.14,179,0,0,0.0,0.0,0,0
Theocacs,FR,6,0.667,3.0,2.3,4.3,10.7,5.6,331,0.6579999999999999,13.0,411,1.32,0.34,0.28,0.29,190,-6,-63,0.16699999999999998,0.16699999999999998,0,1
Thomas,HR,10,0.7,3.3,1.0,3.5,10.6,1.0,261,0.738,7.6,193,3.36,1.61,0.4,0.32,-249,2,-49,0.2,0.1,0,1
Thumb,KR,13,0.231,1.7,0.6,4.8,7.5,1.3,237,0.68,8.4,194,3.56,1.66,0.62,0.5,-311,-3,-387,0.5379999999999999,0.154,0,1
Tian,CN,7,0.857,4.3,4.0,3.0,8.9,6.7,397,0.726,15.4,395,1.65,0.41,0.39,0.34,243,0,0,0.0,0.0,0,0
Tianzhen,CN,6,0.0,1.3,1.7,6.0,5.8,6.0,330,0.799,15.5,337,1.41,0.42,0.25,0.39,-645,0,0,0.0,0.0,0,0
Time,PT,10,0.7,4.9,3.8,2.4,7.9,7.2,397,0.7120000000000001,23.1,628,1.25,0.31,0.24,0.24,422,12,526,0.3,0.2,0,3
Tinowns,BR,6,0.5,4.4,2.8,2.5,8.2,8.2,388,0.727,32.4,779,1.07,0.42,0.27,0.24,-305,-1,135,0.33299999999999996,0.16699999999999998,0,1
Titan,BR,6,0.5,3.9,7.7,3.3,5.3,9.3,470,0.792,33.1,928,1.67,0.47,0.51,0.17,293,0,-254,0.5,0.0,0,2
Tochas,PT,6,0.667,3.1,1.2,4.8,13.8,1.0,266,0.7909999999999999,8.7,239,3.37,1.57,0.45,0.37,245,-4,-306,0.33299999999999996,0.16699999999999998,0,1
Tockimo,DE,9,0.556,4.9,1.2,2.8,12.3,0.8,265,0.8240000000000001,10.3,266,3.13,1.76,0.32,0.42,159,-4,144,0.444,0.222,0,0
Toffe,LT,4,0.0,1.2,2.3,4.0,2.5,8.5,382,0.6679999999999999,28.1,594,0.95,0.4,0.22,0.23,-770,-12,-433,0.0,0.0,0,1
TolanD,KR,8,0.5,4.0,3.1,2.9,8.5,8.9,420,0.608,28.8,742,1.23,0.42,0.28,0.2,364,8,312,0.375,0.0,0,6
Tomo,US,5,0.4,3.1,2.8,2.8,5.8,9.1,403,0.64,25.6,685,0.83,0.31,0.26,0.07,-477,-2,-157,0.0,0.2,0,0
ToongE,GB,8,0.5,5.0,5.0,2.6,8.0,8.7,435,0.7040000000000001,31.5,881,1.02,0.42,0.25,0.16,231,4,341,0.375,0.0,0,0
Tracyn,PL,10,0.8,5.4,3.2,1.5,4.9,8.0,408,0.532,18.6,504,0.71,0.29,0.1,0.09,342,12,427,0.1,0.0,0,3
Treatz,SE,6,0.833,5.1,1.8,3.3,15.2,0.9,286,0.723,9.4,300,3.09,1.51,0.28,0.3,-296,-2,84,0.5,0.33299999999999996,0,1
Trymbi,PL,6,0.33299999999999996,2.1,0.3,4.8,9.8,1.2,243,0.81,7.3,198,3.46,1.58,0.48,0.4,-12,0,347,0.33299999999999996,0.33299999999999996,0,0
Tsiperakos,GR,10,0.6,5.0,5.2,3.1,10.3,7.8,420,0.818,33.9,954,0.86,0.39,0.12,0.06,227,-1,264,0.5,0.0,0,3
Turtle,BR,4,0.0,0.9,1.8,4.0,2.0,7.1,330,0.376,22.9,473,0.65,0.36,0.05,0.1,-353,-16,-278,0.25,0.0,0,3
Tutsz,BR,5,0.6,4.8,3.0,1.8,5.6,8.5,409,0.5579999999999999,26.6,638,0.91,0.4,0.17,0.18,-67,-7,26,0.2,0.2,0,0
Twiizt,SE,8,0.25,1.7,1.1,4.9,7.4,1.0,238,0.74,7.4,190,2.92,1.45,0.33,0.41,-76,-1,-372,0.125,0.125,0,0
Typhoon,TR,8,0.5,6.3,4.5,2.3,9.6,6.0,369,0.733,16.5,460,1.51,0.29,0.34,0.24,764,4,277,0.5,0.0,0,1
UNF0RGIVEN,SE,10,0.5,5.4,5.2,2.0,5.5,9.6,459,0.672,30.6,804,0.74,0.33,0.19,0.06,464,5,336,0.2,0.0,0,3
Ucal,KR,15,0.5329999999999999,5.1,3.7,1.8,5.5,9.1,428,0.6859999999999999,27.7,674,0.86,0.27,0.23,0.1,-40,-3,-41,0.267,0.0,0,5
UmTi,KR,5,0.6,1.9,3.2,5.6,7.6,6.4,373,0.59,17.7,583,1.38,0.34,0.27,0.28,413,6,144,0.6,0.4,0,1
Upset,DE,9,0.889,12.9,7.0,1.0,5.9,9.3,479,0.6709999999999999,27.0,810,1.04,0.45,0.23,0.1,534,1,-33,0.33299999999999996,0.0,0,0
Vampire,CN,6,0.0,1.6,0.8,4.5,6.2,1.0,236,0.726,6.9,156,3.63,1.8,0.53,0.53,-11,0,0,0.0,0.0,0,0
VandeR,PL,4,0.0,1.8,1.0,3.0,4.3,0.9,224,0.7140000000000001,6.2,132,3.33,1.68,0.3,0.46,-222,-4,36,0.0,0.25,0,1
